gene,rho_purity,p_purity,rho_prolif,p_prolif,rho_cd8,p_cd8,rho_immune,p_immune,p_purity_bh,p_prolif_bh,p_cd8_bh,p_immune_bh
BBOF1,0.1335816425559134,3.3893203313787513e-05,-0.5936068459321074,3.518928309779828e-92,-0.29737663823368143,5.4080929264582545e-21,-0.28123264708420076,7.42896786078561e-19,9.520562728591999e-05,9.940475451355447e-92,2.8463646981359233e-20,3.641650912149809e-18
NOSTRIN,0.07486198276829477,0.020552234372572437,-0.669497442170456,1.8888490657197853e-125,-0.21772171801434292,9.87280353454442e-12,-0.21341395742689254,2.5508276364941386e-11,0.03262259424217847,7.20934757908315e-125,2.233665958041724e-11,6.1913292147916e-11
CDCA5,0.05878533991097403,0.06910321563720634,0.90714194706003,0.0,0.16414959167362894,3.289235943851643e-07,0.15237142607804025,2.1885196577048474e-06,0.09651287100168483,0.0,5.171754628697552e-07,3.5185203500077933e-06
BIRC5,0.0751650506991116,0.020044517145426165,0.9079656453649245,0.0,0.14559456951132244,6.118296711030807e-06,0.12794746107682542,7.209636973606042e-05,0.03191802093220727,0.0,8.497634320876122e-06,9.985646777847705e-05
CENPA,0.027750458048110115,0.3911602501598205,0.9338907697897548,0.0,0.20260329026412477,2.5301161046262343e-10,0.1823582092813638,1.3339356274306934e-08,0.44450028427252325,0.0,5.206000215280317e-10,2.646697673473598e-08
PLK1,0.04456621967501109,0.16834005024641405,0.9371637663984925,0.0,0.15530259103925445,1.3833465279159512e-06,0.13987836724435987,1.4060915429600661e-05,0.2136295053888503,0.0,2.0418701704508793e-06,2.1176077454217863e-05
CDC45,0.07445141524227278,0.02125787914742001,0.8826143112439376,2.5451172e-315,0.15371853056121698,1.774404670249058e-06,0.13317458135104426,3.582947930059789e-05,0.033529777835047334,2.827907999e-314,2.6017663786643076e-06,5.162749178760503e-05
PRR11,0.02029212504116952,0.5306661396719639,0.8884901271347568,0.0,0.19009225470303634,3.08479534298215e-09,0.17425475785649386,5.79039549915593e-08,0.5875653298030951,0.0,5.755215192130877e-09,1.0843437264336946e-07
AURKB,0.052258804713691605,0.10617237317357653,0.8910782556106623,0.0,0.19999949889701205,4.3158953356668977e-10,0.18484448789040814,8.387660875424919e-09,0.14156316423143536,0.0,8.666456497323088e-10,1.697907059802615e-08
KIF18B,0.1270732373457721,8.083330356667099e-05,0.8847503791063163,6.7834e-319,0.11291593225186179,0.00046572220496193383,0.09768335981283828,0.0024849886455582306,0.0002083332566151314,8.272467e-318,0.0005638283353050046,0.0030011940163746746
CDC20,-0.003452619156184891,0.9150516268170888,0.8899586874814807,0.0,0.21696338215929326,1.1685380498836069e-11,0.20545457995671837,1.398247689316868e-10,0.9224310754204524,0.0,2.620040470591047e-11,3.2069901131120827e-10
MYBL2,-0.04404361321032682,0.1733912822909948,0.8876989457587231,0.0,0.2267669007730376,1.2599541233543816e-12,0.2206259794954681,5.1473747346884406e-12,0.2194826358113858,0.0,3.0287358734480326e-12,1.3266429728578454e-11
KIF2C,0.0420915654369786,0.19326020156285836,0.9390841135319739,0.0,0.18973664956901443,3.304121517853787e-09,0.17693735656782678,3.5882024496249596e-08,0.24340075763584176,0.0,6.14148981013715e-09,6.847714598520915e-08
CDCA8,0.050150652821454325,0.12105049682825732,0.9365772568412125,0.0,0.17463500739975765,5.413059683754702e-08,0.16151422808000962,5.087215355621496e-07,0.15969722536709408,0.0,9.25079746210429e-08,8.681254873074226e-07
CAPN8,0.08073069657791311,0.012480730288624281,-0.5544315042736553,3.155416182847503e-78,-0.24882201777524565,5.6955325343818865e-15,-0.23016988294918764,5.674209842691316e-13,0.020663460742755435,7.548842542697376e-78,1.7259189498126927e-14,1.6212028121975189e-12
ORC6,0.025056703463210577,0.4387841186552568,0.8417598501444667,6.440587061456446e-258,0.17167195531125215,9.115878095278072e-08,0.16367692559570807,3.5586483356907514e-07,0.49301586365759187,4.411361000997566e-257,1.5142654643319056e-07,6.243242694194301e-07
UBE2C,0.05802563319904732,0.07277918067305768,0.9105376180614383,0.0,0.18831769294155912,4.340254929793569e-09,0.16848646004666168,1.5806244934581477e-07,0.1013637613830887,0.0,7.978409797414647e-09,2.863450169308238e-07
CEP55,0.04495634303879611,0.16464181450639426,0.9363672727831334,0.0,0.17808521100228292,2.9172419081247297e-08,0.1649556281519001,2.874522936561282e-07,0.21000231442142123,0.0,5.1000732659523254e-08,5.096671873335607e-07
TICRR,0.02931600434709842,0.3649823065129262,0.8825878321953412,2.81563976e-315,0.1739255633143762,6.137515179147194e-08,0.16336717275421453,3.746605791350712e-07,0.41759989303538464,3.0604780005e-314,1.0402568100249482e-07,6.550010124739007e-07
SLC7A5,-0.08499156534966171,0.00852407655566569,0.6247481375603824,1.0113825601699554e-104,0.20833555247110996,7.612547783112323e-11,0.19763011693580504,6.972995189446237e-10,0.014398777965651505,3.2837096109414136e-104,1.633593944873889e-10,1.5224880326301828e-09
CFAP69,0.09093060132617083,0.004875699600170089,-0.6615039185021433,1.7457450140537067e-121,-0.22463955429326277,2.0612298673123963e-12,-0.21256373899938602,3.069146300006525e-11,0.008769243885198001,6.465722274272987e-121,4.838567763644123e-12,7.413396859919142e-11
AURKA,0.040334996992507643,0.2125234813263902,0.9083057245211241,0.0,0.16060217956798295,5.906337795973269e-07,0.143768774761299,8.00878583614259e-06,0.26237466830418543,0.0,9.031097547359739e-07,1.243600285115309e-05
FAM161B,0.17067916336275593,1.0833625803254059e-07,-0.5964928157850398,2.7644662671336215e-93,-0.32607577843679353,3.827713143931682e-25,-0.3105069193423261,7.778702025110508e-23,4.4767048773777105e-07,7.898475048953205e-93,3.037867574548954e-24,5.477959172613034e-22
ZBTB4,0.085926177141463,0.007823159306060638,-0.6372002319093675,3.814947507670321e-110,-0.2619434953532555,1.766068685155788e-16,-0.2525507305848811,2.1656682246510508e-15,0.01344185447776742,1.3246345512744172e-109,5.696995758567058e-16,7.467821464313969e-15
TPX2,0.08543203229178845,0.008187046823160252,0.9630043741909616,0.0,0.1398870886269638,1.4043416354649667e-05,0.12261108392163415,0.0001432878084921472,0.014018915793082624,0.0,1.872455513953289e-05,0.00019156124129966203
GTSE1,0.0643206481866704,0.04667409953540718,0.8955464102282621,0.0,0.16282662502017073,4.0977525383693414e-07,0.14952110847047786,3.3910426908877344e-06,0.06803804596998131,0.0,6.378599584866253e-07,5.399749507783017e-06
MCM10,0.04943290936148686,0.12647199158107755,0.9245084104386158,0.0,0.14935426581991032,3.478224848498332e-06,0.13549597517092196,2.6044236907508314e-05,0.1655392559961748,0.0,4.983130155441736e-06,3.818803065617054e-05
CTPS1,-0.0036274968493719183,0.9107664519872114,0.7142966243265675,3.413125068982761e-150,0.16194165797563317,4.742084780078074e-07,0.1518248815377476,2.3817048951487945e-06,0.9199661131183954,1.4221354454094838e-149,7.318032068021719e-07,3.816834767866658e-06
UBXN10,0.1242809112258004,0.00011591416148109628,-0.5777606003202841,2.6188456597411273e-86,-0.2672259970915763,4.123378821114639e-17,-0.2525809747515562,2.1486095636476598e-15,0.0002897854037027407,7.00226112230248e-86,1.4218547659015998e-16,7.460449873776597e-15
KIAA0825,0.06035726046148365,0.06198004014654359,-0.47904673453499647,4.652668609101217e-56,-0.2671691506542584,4.1891623755516694e-17,-0.24624815567402328,1.1000254057549723e-14,0.08729583119231492,7.4087079762758225e-56,1.4346446491615306e-16,3.503265623423479e-14
SLC25A19,0.02301149987224813,0.4770631008304447,0.6341729948261252,8.373947178998407e-109,0.19281825495731186,1.8140796661426777e-09,0.18851614889264864,4.178324368053008e-09,0.5324364964625499,2.8290362091210836e-108,3.4886147425820724e-09,8.633128166953916e-09
FAM214A,0.14226088778603532,9.978692282284695e-06,-0.483305083081917,3.6141713030794875e-57,-0.28281028632449684,4.656710899916526e-19,-0.2529368263296706,1.957555592678862e-15,3.0422842324038703e-05,5.924870988654898e-57,1.9242607024448455e-18,6.844599974401617e-15
DSCC1,0.07556710781198536,0.019387856372997378,0.8490381930565799,7.217949392934324e-267,0.10601945446095158,0.0010207979535681849,0.0911521943149236,0.0047721850369577745,0.030971016570283352,5.386529397712182e-266,0.0011953137629604038,0.0056011561466640545
ALYREF,0.015647281216985123,0.6287747462671238,0.6135816872761927,4.607202266095194e-100,0.17048892782827246,1.1196718960583421e-07,0.14696568860217155,4.987482889402411e-06,0.6811507386009232,1.4132522288635565e-99,1.8415656185170102e-07,7.817371300003779e-06
CCNA2,0.06913500875995893,0.032477465842865615,0.92901369596614,0.0,0.15273712172851284,2.0677475706556498e-06,0.13859387325199599,1.6877798990115116e-05,0.048764963728026446,0.0,3.014209286670043e-06,2.526616615286694e-05
NUF2,0.10019827007777,0.0019128688659043652,0.8588501181521434,1.0336704900181134e-279,0.11603666748549997,0.0003217743537845576,0.0955230308986948,0.00309693502864727,0.003721534758568804,8.336052338855754e-279,0.0003933671806657184,0.0036780701052817936
SGO1,0.09073716230551414,0.004967715653413636,0.9162967974398509,0.0,0.1331897513540665,3.575547612236707e-05,0.1151863395272857,0.00035620391107557043,0.008902716224755618,0.0,4.667816726157581e-05,0.00046021177141546566
ABAT,0.1092079151528581,0.0007141116107733182,-0.515662959663756,3.926386304577681e-66,-0.2860418666343697,1.7721196517652244e-19,-0.2636625661199231,1.1040042173457964e-16,0.0015129483279095726,7.493103634690231e-66,7.77245461300537e-19,4.213756554754948e-16
PIMREG,0.12069377550716757,0.0001821830698496147,0.861615754831283,1.650918125551019e-283,0.10934911951960705,0.0007027469879889763,0.0845945360770739,0.008838425988087649,0.00044434895085271884,1.3990831572466263e-282,0.0008326386113613463,0.01013580961936657
HJURP,0.059673120467108605,0.06500194779211584,0.9257031577073239,0.0,0.17272917308505203,7.576695636773052e-08,0.1596216880549561,6.928176283565791e-07,0.09129487049454471,0.0,1.2712576571766867e-07,1.1624456851620456e-06
SCUBE2,0.10747820620217668,0.0008678727365036027,-0.5505118109837338,6.235217381770891e-77,-0.265865735232132,6.015707031008147e-17,-0.2440412762090896,1.922718815338985e-14,0.0018080682010491722,1.4636660520588946e-76,1.9919559705324992e-16,5.971176445152127e-14
NCAPH,0.061889573015161105,0.055631349909850324,0.9414903936503514,0.0,0.1746267789053386,5.420967312793114e-08,0.16482584795456465,2.937708933296778e-07,0.07924693719351898,0.0,9.25079746210429e-08,5.190298468722223e-07
CDCA3,0.09993307108912752,0.0019669236753001957,0.8828926561549864,8.78853645e-316,0.15742852731116705,9.865540599188411e-07,0.14073900478044035,1.2430520073885829e-05,0.00379714995231698,9.986973233e-315,1.4947788786649108e-06,1.8834121324069436e-05
FAM83D,0.02900395358277357,0.37011109777978934,0.905559625381978,0.0,0.1446741829741689,7.010605725697225e-06,0.13283064123739685,3.7546794610486204e-05,0.4225012531732755,0.0,9.62995291991377e-06,5.36382780149803e-05
CBX2,-0.1262469467498017,9.000188099237188e-05,0.6452091720247948,9.096813004955941e-114,0.23426871371162075,2.13421032465679e-13,0.22373321506937713,2.5383296107731897e-12,0.00022959663518462212,3.203103170759135e-113,5.335525811641975e-13,6.715157700458174e-12
CDCA7,-0.1668707637489416,2.081427745540941e-07,0.6337126235701483,1.3354282240727764e-108,0.34577855919418693,2.9055089126407936e-28,0.33410136721979755,2.1850004368002625e-26,8.25963391087675e-07,4.481302765344887e-108,4.035429045334436e-27,2.731250546000328e-25
CENPN,-0.01355312392207282,0.675404112725936,0.8333916219249696,3.59247632996172e-248,0.19724496589336982,7.534326540676106e-10,0.18022398974967824,1.9764717497867604e-08,0.7139053235236436,2.245297706226075e-247,1.483135145802383e-09,3.89069242084008e-08
E2F1,0.1500352837070231,3.135330435834479e-06,0.8085196900204298,3.890541022372154e-222,0.08699264246638617,0.007086694717581042,0.07112598306890748,0.0277910589107584,1.0664389237532242e-05,2.0694367140277417e-221,0.007877561813085033,0.030405972550063894
RGS22,0.19994286597743863,4.365970962355914e-10,-0.46755210749213055,3.85584288359453e-53,-0.28648864831197557,1.5489973622786563e-19,-0.2733411425995037,7.347623240564146e-18,2.398885144151601e-09,5.703909591116168e-53,6.9151667958868585e-19,3.1670789830017865e-17
KPNA2,0.06903826528627899,0.032721450349376874,0.8574973317635026,6.952231198020047e-278,0.10381895515974382,0.0012990951444205774,0.08364574001259986,0.009631891323632461,0.048984207109845614,5.517643807952419e-277,0.001507070933202526,0.011020470622005105
SNTN,0.1184508374424542,0.00024021462884982477,-0.43731440725813353,5.649684541057807e-46,-0.20829108827520187,7.684835970247576e-11,-0.1954132861784989,1.0865003641804983e-09,0.0005665439359665679,7.473127699811915e-46,1.6420589680016187e-10,2.3315458458808976e-09
APH1B,0.21880563872259468,7.750672867587617e-12,-0.634892721106696,4.0305215566104917e-109,-0.30868504031510446,1.4195442482946118e-22,-0.3118381555642188,4.998729449161391e-23,5.696517211641195e-11,1.3898350195208593e-108,8.449668144610784e-22,3.622267716783616e-22
CCNB2,0.07710624649752827,0.017044384679072887,0.9431063412556803,0.0,0.16587601468905366,2.462554687528034e-07,0.1453913763571231,6.305427690342545e-06,0.027402547715551267,0.0,3.9212654260000543e-07,9.852230766160228e-06
ANKRA2,0.23111620809167,4.5349928308344277e-13,-0.5021101638499977,2.9236402913116876e-62,-0.3267651236373044,3.0031973159102757e-25,-0.32419873700688545,7.3865580964922135e-25,3.779160692362023e-12,5.202206924042148e-62,2.4616371441887505e-24,7.241723624011975e-24
CDC25A,0.07720953538952652,0.016896402771386976,0.8869416230627201,1.2e-322,0.12655785867904484,8.644252055115593e-05,0.11386876726118382,0.0004164097237891104,0.027252262534495125,1.56e-321,0.00010859613134567327,0.0005338586202424492
RAD54L,0.07754467313143444,0.01642397631554039,0.8676852620874048,3.8792872113984585e-292,0.14681460468218033,5.101524890350815e-06,0.14224932370949067,9.995449984820578e-06,0.026662299213539593,3.5266247376349624e-291,7.165063048245528e-06,1.5377615361262426e-05
TRIP13,0.05635682539474828,0.08141604086694587,0.8829787062172557,6.32290303e-316,0.12781733859602823,7.333775535573428e-05,0.11058736417062703,0.0006100383554174447,0.1118352209710795,7.35221282e-315,9.259817595420994e-05,0.0007683102713066055
KIFC1,0.11887010967826184,0.00022819593924536626,0.9010326390829825,0.0,0.14027704532920124,1.3281838042846006e-05,0.12366685041355643,0.0001253514235842633,0.0005407486711975504,0.0,1.7804072443493307e-05,0.0001684830962154077
CFAP94,0.2016428261447127,3.083582693350071e-10,-0.5658037490663533,4.368907409104491e-82,-0.29046437432951794,4.627502724841723e-20,-0.2782223051126278,1.796326373389963e-18,1.7721739616954433e-09,1.108859748503678e-81,2.2035727261151063e-19,8.473237610330014e-18
TMEM26,0.08236668828388603,0.010801682219741886,-0.495913614664234,1.510153660786685e-60,-0.2480062741380008,7.022460640250598e-15,-0.22721846849837968,1.1342277539408274e-12,0.01800280369956981,2.6401287775990997e-60,2.0776510769972184e-14,3.0654804160562904e-12
MTFR2,-0.0019909094829453325,0.9509537031699817,0.8622694340950856,2.0338070539180114e-284,0.2162742286375209,1.3612333225980465e-11,0.20135073816440605,3.2741551360247367e-10,0.9509537031699817,1.7532819430327683e-283,3.011578147340811e-11,7.374223279334992e-10
DRC3,0.15526292308839848,1.3920401760104081e-06,-0.6249572590641382,8.238750964266354e-105,-0.2815382514501386,6.787913172956014e-19,-0.26536984864416996,6.900034963857166e-17,4.9363126808879725e-06,2.6924022759040372e-104,2.7819316282606614e-18,2.6953261577567055e-16
KCND3,0.07067201128387493,0.02880502167797973,-0.5324728564422908,3.4850332546652285e-71,-0.24815998679497783,6.7511157641945824e-15,-0.22800164044140978,9.446893949108088e-13,0.04404437565440326,7.321498434170648e-71,2.0180697838659737e-14,2.5811185653300787e-12
ORC1,0.04067450975774757,0.2086961920573093,0.8932023846258973,0.0,0.17664590904586455,3.7810381961949475e-08,0.17120482053407227,9.888501538764556e-08,0.2595723781807329,0.0,6.564302423949562e-08,1.8110808679055962e-07
BUB1,0.03487984270452331,0.28106042729135083,0.9350336953423626,0.0,0.1728323510117447,7.44071736522801e-08,0.15951838690621722,7.045241739598359e-07,0.33539430464361675,0.0,1.2526460210821567e-07,1.1781340701669497e-06
SEPTIN3,0.04711691305095507,0.14525851253133137,0.5853681925398689,4.3608389946308756e-89,0.0747235876213761,0.020787782021849263,0.045490457835346255,0.15967810109920103,0.1871888048084167,1.1980326908326581e-88,0.022256725933457455,0.16598555207817156
CFAP99,0.19222157870997034,2.0389766244436016e-09,-0.5424656629680827,2.52108565898774e-74,-0.28309708122512367,4.2762573068966297e-19,-0.27259420311076044,9.092345815714855e-18,1.0402941961446947e-08,5.652658428223632e-74,1.7817738778735956e-18,3.852688904963922e-17
PGR,0.09404860993418265,0.0035902244680540434,-0.5038604645597102,9.454175781622332e-63,-0.262633415589982,1.463188855478546e-16,-0.23428964776813793,2.1234768422025472e-13,0.006599677330981697,1.6942967350577654e-62,4.750613167138136e-16,6.208996614627331e-13
DNAH7,0.15936880374877468,7.218134375215321e-07,-0.5644210744858374,1.3108499463084241e-81,-0.2914748361824506,3.393534156470405e-20,-0.2761007637603633,3.325030573717749e-18,2.6537258732409265e-06,3.2935928299206634e-81,1.631506805995387e-19,1.5113775335080677e-17
FOXM1,0.11117584035829857,0.0005700839367033593,0.917858513653509,0.0,0.12570716105469198,9.651185361257964e-05,0.11109342342307063,0.0005755291867532303,0.0012233560873462644,0.0,0.00012094217244684165,0.0007266782661025634
SHCBP1,-0.034814559688137035,0.2819623743756784,0.8201478259290893,8.334617010580583e-234,0.18282011396724904,1.2243638093177724e-08,0.1735951365517964,6.506139418166841e-08,0.33566949330437906,4.845707564291037e-233,2.1752634725344388e-08,1.2093195944548033e-07
ABTB2,-0.12354560605245793,0.00012729829809297633,0.4446881837368859,1.1761602500964914e-47,0.21774367892124516,9.824638332795579e-12,0.2112502467521475,4.078166762665826e-11,0.0003150947972598424,1.598043818065885e-47,2.2328723483626317e-11,9.709920863490062e-11
