Signature,Gene
PARPi7,BRCA1
PARPi7,MRE11
PARPi7,NBN
PARPi7,TDG
PARPi7,XPA
PARPi7,CHEK2
PARPi7,MAPKAPK2
CIN70,TPX2
CIN70,PRC1
CIN70,FOXM1
CIN70,CDK1
CIN70,TGIF2
CIN70,MCM2
CIN70,H2AZ1
CIN70,TOP2A
CIN70,PCNA
CIN70,UBE2C
CIN70,MELK
CIN70,TRIP13
CIN70,CEP250
CIN70,MCM7
CIN70,RNASEH2A
CIN70,RAD51AP1
CIN70,KIF20A
CIN70,CDC45
CIN70,MAD2L1
CIN70,ESPL1
CIN70,CCNB2
CIN70,FEN1
CIN70,TTK
CIN70,CCT5
CIN70,RFC4
CIN70,ATAD2
CIN70,CKAP5
CIN70,NUP205
CIN70,CDC20
CIN70,CKS2
CIN70,RRM2
CIN70,ELAVL1
CIN70,CCNB1
CIN70,RRM1
CIN70,AURKB
CIN70,MSH6
CIN70,EZH2
CIN70,CTPS1
CIN70,DKC1
CIN70,OIP5
CIN70,CDCA8
CIN70,PTTG1
CIN70,CEP55
CIN70,H2AX
CIN70,CMAS
CIN70,NCAPH
CIN70,MCM10
CIN70,LSM4
CIN70,NCAPG2
CIN70,ASF1B
CIN70,ZWINT
CIN70,PBK
CIN70,ZWILCH
CIN70,CDCA3
CIN70,ECT2
CIN70,CDC6
CIN70,UNG
CIN70,MTCH2
CIN70,RAD21
CIN70,ACTL6A
CIN70,PDCD2L
CIN70,SRSF2
CIN70,HDGF
CIN70,NXT1
CIN70,NEK2
CIN70,DHCR7
CIN70,AURKA
CIN70,NDUFAB1
CIN70,NEMP1
CIN70,KIF4A
Severson,JAML
Severson,FAM241B
Severson,PIMREG
Severson,HIF1A
Severson,PLAAT1
Severson,IRAG2
Severson,ACOT7
Severson,ADAMTS1
Severson,AFF3
Severson,ANLN
Severson,APOBEC3B
Severson,ASPM
Severson,AURKB
Severson,BCL11A
Severson,BIRC5
Severson,BLM
Severson,BUB1
Severson,C16orf59
Severson,CASC5
