Gene,N_signatures
TTK,8
BRCA1,8
TPX2,8
PRC1,8
POLQ,8
RRM2,8
CDK1,8
TOP2A,8
CEP55,8
CHEK1,8
RAD51,8
FOXM1,8
AURKB,8
MELK,8
CCNA2,7
CENPF,7
CDC20,7
BUB1,7
PCNA,7
AURKA,7
ASPM,7
BLM,7
BIRC5,7
ANLN,7
MKI67,7
EXO1,7
MAD2L1,7
FANCA,7
NEK2,7
UBE2C,7
KIF11,7
MCM2,7
CENPA,7
CCNB1,7
PLK1,7
RAD51AP1,6
FANCD2,6
BRCA2,6
DEPDC1,6
MCM7,6
DLGAP5,6
PBK,6
E2F1,6
FEN1,6
TYMS,6
MYBL2,6
HMMR,6
SPAG5,6
CDC45,6
CCNE1,6
EZH2,5
NCAPH,5
ATR,5
KIF2C,5
NCAPG2,5
CDC25C,5
RFC4,5
PALB2,4
UHRF1,4
H2AX,4
DNMT1,4
ECT2,4
RAD51C,4
CHEK2,4
TK1,4
CCNB2,4
CDCA8,4
ATM,4
NDC80,4
ESPL1,4
MRE11,4
NBN,4
HMGA1,4
FANCI,4
MCM10,4
KIF14,4
CDC6,3
SPC25,3
CDCA3,3
KIF20A,3
ESR1,3
TRIP13,3
ZWINT,3
RRM1,3
GADD45A,3
GRB7,3
KIF15,3
PGR,3
KIF4A,3
NUF2,3
DTL,3
DHCR7,3
RAD50,3
