,PARPi7,CIN70,Severson,Peng2014,Multiscale,Konst.BRCAness,softHRD,Beinse2022,POLQ,expHRD,PanHRD200,ProHRDness
PARPi7,1.0,0.0,0.0,0.016260162601626018,0.034782608695652174,0.0,0.008695652173913044,0.012658227848101266,0.0,0.04,0.018518518518518517,0.09523809523809523
CIN70,0.0,1.0,0.11363636363636363,0.19011406844106463,0.23809523809523808,0.007751937984496124,0.2517482517482518,0.1721311475409836,0.0,0.25892857142857145,0.18,0.0
Severson,0.0,0.11363636363636363,1.0,0.19402985074626866,0.2857142857142857,0.0,0.32857142857142857,0.2396694214876033,0.012987012987012988,0.34545454545454546,0.37362637362637363,0.0449438202247191
Peng2014,0.016260162601626018,0.19011406844106463,0.19402985074626866,1.0,0.2956204379562044,0.0033112582781456954,0.2571428571428571,0.1575091575091575,0.00411522633744856,0.28688524590163933,0.17338709677419356,0.06147540983606557
Multiscale,0.034782608695652174,0.23809523809523808,0.2857142857142857,0.2956204379562044,1.0,0.0,0.6742424242424242,0.32142857142857145,0.008928571428571428,0.5775862068965517,0.40350877192982454,0.10344827586206896
Konst.BRCAness,0.0,0.007751937984496124,0.0,0.0033112582781456954,0.0,1.0,0.005952380952380952,0.015267175572519083,0.0,0.0,0.0,0.0
softHRD,0.008695652173913044,0.2517482517482518,0.32857142857142857,0.2571428571428571,0.6742424242424242,0.005952380952380952,1.0,0.28169014084507044,0.009174311926605505,0.45161290322580644,0.35344827586206895,0.041666666666666664
Beinse2022,0.012658227848101266,0.1721311475409836,0.2396694214876033,0.1575091575091575,0.32142857142857145,0.015267175572519083,0.28169014084507044,1.0,0.0,0.39805825242718446,0.5125,0.08536585365853659
POLQ,0.0,0.0,0.012987012987012988,0.00411522633744856,0.008928571428571428,0.0,0.009174311926605505,0.0,1.0,0.014084507042253521,0.020833333333333332,0.0625
expHRD,0.04,0.25892857142857145,0.34545454545454546,0.28688524590163933,0.5775862068965517,0.0,0.45161290322580644,0.39805825242718446,0.014084507042253521,1.0,0.5866666666666667,0.14473684210526316
PanHRD200,0.018518518518518517,0.18,0.37362637362637363,0.17338709677419356,0.40350877192982454,0.0,0.35344827586206895,0.5125,0.020833333333333332,0.5866666666666667,1.0,0.10344827586206896
ProHRDness,0.09523809523809523,0.0,0.0449438202247191,0.06147540983606557,0.10344827586206896,0.0,0.041666666666666664,0.08536585365853659,0.0625,0.14473684210526316,0.10344827586206896,1.0
